Num,Ticker,Name,Data FX,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ORG AU Equity,ORIGIN ENERGY LTD,AUD,2957.9340999999999,3408.741,3707.346,8122.9669999999996,8664.9269999999997,14765.251,12568,22102,21834,26900,28071,29589,30941,33367,28905,25199,24257,25743,25093,21308,24020,18948,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,S32 AU Equity,SOUTH32 LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3120.7555000000002,20094.7068,17958.909599999999,19188.590800000002,20466.594499999999,20988.4467,19937.590700000001,17663.065200000001,23634.259300000002,21838.356599999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CPU AU Equity,COMPUTERSHARE LTD,AUD,1703.4363000000001,894.40599999999995,1187.085,2041.261,2159.2253999999998,2041.0716,2338.8211999999999,3092.9263000000001,3177.5776999999998,2682.7619,3597.1352999999999,3967.6318000000001,4040.9593,4931.8306000000002,5338.4557999999997,5140.7007000000003,5258.5825999999997,6682.2920999999997,7242.0189,7005.3154999999997,8815.6236000000008,9216.3518000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,NST AU Equity,NORTHERN STAR RESOURCES LTD,AUD,0.28999999999999998,0.40100000000000002,5.6764999999999999,5.5317999999999996,5.1048999999999998,6.4710999999999999,8.0307999999999993,3.9636999999999998,5.7809999999999997,48.755000000000003,134.00700000000001,157.34899999999999,393.572,593.39700000000005,763.529,924.95799999999997,1216.8699999999999,1643.835,3811.3850000000002,11249.3,11176.9,12316.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,IAG AU Equity,INSURANCE AUSTRALIA GROUP,AUD,11307,16470,16291,17102,16972,21637,19380,19360,20442,23029,25132,24859,29748,31402,30030,29597,29766,29286,29694,33449,34083,35026,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,SHL AU Equity,SONIC HEALTHCARE LTD,AUD,1598.7090000000001,1543.3889999999999,1694.133,1796.883,2345.2199999999998,2900.462,3629.0010000000002,4761.2460000000001,4863.7250000000004,4712.8969999999999,4928.8050000000003,5518.2259999999997,5797.6059999999998,6348.7049999999999,7370.6189999999997,7878.165,8200.9339999999993,9959.8340000000007,12127.13,11760.991,12552.013000000001,13014.629000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,SCG AU Equity,SCENTRE GROUP,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,34908,31411.8,31841.3,33985.199999999997,37415.599999999999,40875,39883.4,38064.1,36682.6,37006.699999999997,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,SOL AU Equity,WASHINGTON H. SOUL PATTINSON,AUD,1381.0081,1115.2819999999999,1414.693,2196.4290000000001,2381.7600000000002,2639.4949999999999,2325.422,4944.66,4287.7120000000004,4475.6009999999997,4157.4840000000004,4209.3270000000002,4366.3810000000003,4253.0150000000003,4299.0469999999996,4748.3940000000002,5295.5370000000003,5877.2190000000001,7210.8329999999996,7498.4870000000001,9705.6190000000006,9797.1869999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,REH AU Equity,REECE LTD,AUD,352.31599999999997,389.23,456.22399999999999,519.30600000000004,605.13,667.61699999999996,781.44100000000003,838.61300000000006,887.10199999999998,958.01700000000005,1008.866,1076.7539999999999,1376.7840000000001,1460.5989999999999,1591.354,1687.9459999999999,2324.2469999999998,4474.1099999999997,6343.8850000000002,6118.0690000000004,6607.5739999999996,6924.2860000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MIN AU Equity,MINERAL RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,123.63809999999999,157.72900000000001,223.64099999999999,288.82,844.81600000000003,970.05700000000002,1435.9290000000001,1804.433,1858.2180000000001,1591.576,1618.3689999999999,1834.5119999999999,2085.335,3161.3,4630.8999999999996,5724.4,7600.6,8395.2000000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,
