Num,Ticker,Name,Data FX,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,SVW AU Equity,SEVEN GROUP HOLDINGS LTD,AUD,1079.747,1183.166,1002.757,674.808,718.403,2331.211,1977.058,1963.781,2880.145,2681.922,2579.823,3035.334,3142.7,2809.4,2698.2,2425.2,2835.3,2869.3,2865.4,4065.6,4283.7,4615.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,TLC AU Equity,LOTTERY CORP LTD/THE,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,272.3,242.8,264.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,TPG AU Equity,TPG TELECOM LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2787.8,-1203,11892,11720,11900,11900,11900,11900,11900,11900,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,MPL AU Equity,MEDIBANK PRIVATE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1619.164,1402.699,1393.947,1442,1578.7,1719.8,1829.2,1935.4,1813.9,1906.1,1945.6,2084.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,EDV AU Equity,ENDEAVOUR GROUP LTD/AUSTRALI,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3387,3388,3568,3709,3709,3709,3709,3709,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,TWE AU Equity,TREASURY WINE ESTATES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2876.8,2939.3,3007.9,2848.8,3050.7,3569.2,3608.5,3496.3,3641.5,3596.1,3591.2,3789,3878.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,WOR AU Equity,WORLEY LTD,AUD,102.082,118.662,140.458,390.433,475.263,1387.706,1416.5,1655.1,1839,1856.8,1979.9,2192.9,2184.9,2017.6,1879.9,1868.3,2212.8,6033,5940,5584,5683,5601,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,BSL AU Equity,BLUESCOPE STEEL LTD,AUD,771.7,3091.1001,3193.6,3260.4,3084.9,3865,3941.8,5663.3,5755.7,4396.1,3778.8,4460.3,4456.7,4739.1,4985.3,5538.7,6887.6,7341.5,7039.6,8160.4,10448.1,11030.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,QAN AU Equity,QANTAS AIRWAYS LTD,AUD,4253.5001,5262.0999,5840.3,5529.9,6081.1,5639.8,5735,5765,5981,6151,5889,5840,2866,3447,3260,3540,3955,3014,1526,443,-190,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,SGP AU Equity,STOCKLAND,AUD,2642.682,3999.801,5033.052,5486.2,6395.1,8217.9,8483.6,8692.5,8665.1,8799.4,8227.4,8195,8298,8787,9254,9927,10376,9828,9081,9584,10361,10176,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PME AU Equity,PRO MEDICUS LTD,AUD,7.452,10.748,11.075,12.818,13.206,14.257,15.744,15.442,16.662,15.198,16.002,20.959,20.707,21.938,27.385,34.834,35.069,49.288,60.183,81.683,101.732,138.776,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,VCX AU Equity,VICINITY CENTRES,AUD,#N/A,#N/A,#N/A,#N/A,1010.136,2163.084,2892.547,690.807,770.072,1012.469,3347.616,3363.028,6101.7,10595.6,10849,11747.7,12107.5,11589.1,10559.6,9881.3,10885.1,10638.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,ALX AU Equity,ATLAS ARTERIA,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-225.292,-821.318,-980.586,875.56,822.893,864.958,1072.998,2162.075,2328.506,3403.031,3634.336,3497.994,6490.472,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,ALD AU Equity,AMPOL LTD,AUD,1036.326,1223.6589,1645.319,2138.455,2442.51,2828.622,2601.963,2925.262,3082.596,2218.075,2159.579,2597.032,2532.591,2787.805,2810.215,3107.901,3389.064,3270.523,3224.7,3346.8,4050.1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,SEK AU Equity,SEEK LTD,AUD,#N/A,11.411,36.282,55.445,80.282,105.39,142.477,288.64,352.957,434.759,771.133,1296.6,1468.6,1800.9,1824.6,2039.9,1625,1694.4,1375.8,1918.7,1894.4,2676.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,AGL AU Equity,AGL ENERGY LTD,AUD,#N/A,#N/A,#N/A,#N/A,130,6517.6,4979.9,5845.7,5799.9,6341.5,7132.9,7340,7588,8815,7926,7574,8301,8438,7972,5506,6517,5119,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,IGO AU Equity,IGO LTD,AUD,4.143,12.276,30.838,49.639,47.929,102.881,192.957,195.436,214.78,813.88,642.125,649.469,609.505,665.495,1455.791,1732.784,1778.827,1849.06,1925.809,3199.877,3435.2,3790.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,MGR AU Equity,MIRVAC GROUP,AUD,1729.491,2033.569,2240.077,2835.791,3168.058,4080.41,4410.167,4860.5,5455.4,5595.7,5754.7,6010.8,6176.1,6462,7180,7972,8655,9874,10141,10659,11126,10557,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,DXS AU Equity,DEXUS/AU,AUD,#N/A,#N/A,#N/A,3865.712,4715.513,5704.943,5835.053,5146.217,5006.447,5306.841,5007.326,5191.7,6053.3,6777.3,7523.1,8824.5,10047.4,11743.3,12081.2,12509,13567.2,12264.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,GPT AU Equity,GPT GROUP,AUD,5073.5998,5315.5,6074.5,6373.3,7442.1,8295.4,6812.3,6668.4,6954.5,6786.4,6876.2,6714.8,6931.7,7525.1,8282.2,9105.9,10100.6,11326.6,10877.5,11673.3,11475.9,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,EBO NZ Equity,EBOS GROUP LTD,AUD,39.7337,38.9353,43.8289,48.8872,45.7643,83.7683,117.1012,129.6111,148.7665,153.3384,163.3141,257.9471,908.8108,923.672,1039.8263,1099.4159,1072.844,1239.26,1310.874,1405.703,2151.556,2303.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,ORI AU Equity,ORICA LTD,AUD,1494.1,1580.5,1637.9,1519.5,2668.2,2627.6,4318.4,3972.8,3632.6,3875.6,3246.5,4009.9,4399.1,2987.2,2783.2,2963.5,2968,3025.4,2940.4,2792.4,3729.2,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,EVN AU Equity,EVOLUTION MINING LTD,AUD,#N/A,10.176,11.1404,17.9366,7.8682,5.6765,6.275,44.611,138.728,154.691,1056.418,747.255,785.304,1124.56,1551.433,2128.252,2288.394,2406.478,2463.31,2534.89,3253.976,3294.876,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,YAL AU Equity,YANCOAL AUSTRALIA LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,135.909,568.641,1762.504,1791.46,977.154,2487.188,1688.3,1351.8,5026,5838,6163,5193,6146,8030,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,AZJ AU Equity,AURIZON HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2684,7026.4,7294.2,6495.6,6373,6506,5713.6,5022.1,4730.1,4677.4,4357.7,4274.6,4412.3,4353,,,,,,,,,,,,,,,,,,,,,,,,,,,
