Num,Ticker,Name,Data FX,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,ING AU Equity,INGHAMS GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,314.739,-55.423,-1.2,216.5,261,164.5,129.1,163.6,158.2,201.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,MND AU Equity,MONADELPHOUS GROUP LTD,AUD,27.795,34.1,39.271,46.171,62.134,90.481,101.817,122.565,144.286,193.234,245.642,308.034,362.665,368.098,368.889,378.244,396.128,394.681,384.442,395.581,412.184,437.978,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,NEU AU Equity,NEUREN PHARMACEUTICALS LTD,AUD,#N/A,#N/A,8.7,19.7442,16.1664,7.4885,5.5446,7.3409,3.5445,9.4537,6.361,24.451,19.078,14.402,4.183,16.364,24.669,13.847,24.2,39.253,41.589,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,DBI AU Equity,DALRYMPLE BAY INFRASTRUCTURE,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,869.934,1056.165,1158.053,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,RRL AU Equity,REGIS RESOURCES LTD,AUD,-18.5,-23.773,-22.6966,5.5949,42.7209,96.39,108.357,35.969,81.784,140.278,237.934,538.096,321.06,409.973,481.848,538.392,636.842,716.464,835.081,1584.305,1577.299,1539.841,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,ABC AU Equity,ADBRI LTD,AUD,525.79,575.628,588.948,633.976,675,667.9,701.9,897,934.3,957.1,1005.9,1061.8,1136.7,1207.3,1220.1,1245.8,1245.6,1197.3,1222,1269,1303.1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,MAD AU Equity,MADER GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.545,12.6289,30.78,34.169,48.117,60.672,84.982,119.644,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,LFS AU Equity,LATITUDE GROUP HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,379.724,403.848,383.559,1565.5,1474.5,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,LFG AU Equity,LIBERTY FINANCIAL GROUP,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1001.3,1038.227,1116.137,1170.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,MFG AU Equity,MAGELLAN FINANCIAL GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,69.449,101.867,101.709,111.133,125.835,147.216,153.039,206.587,303.443,355.369,447.611,620.433,734.022,1045.927,989.434,1026.76,962.502,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,MMS AU Equity,MCMILLAN SHAKESPEARE LTD,AUD,#N/A,#N/A,18.1016,24.6442,33.6641,40.2672,48.207,57.403,89.417,114.512,168.051,195.435,223.847,318.443,370.495,370.995,371.377,371.371,228.886,269.195,291.431,145.577,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,SIQ AU Equity,SMARTGROUP CORP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,29.965,65.919,82.505,194.264,204.752,292.308,276.713,270.935,266.23,240.342,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,MGH AU Equity,MAAS GROUP HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,77.4787,98.7626,254.4003,455.951,629.292,629.292,629.292,629.292,629.292,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,NWH AU Equity,NRW HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,45.514,117.216,142.254,169.069,266.709,329.178,352.87,372.002,128.364,149.791,199.073,272.643,291.448,472.389,545.123,598.299,610.122,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,NAN AU Equity,NANOSONICS LTD,AUD,#N/A,#N/A,#N/A,#N/A,4.211,31.3172,24.559,16.312,23.582,14.306,26.003,21.707,20.435,44.676,56.664,87.251,94.303,110.083,124.23,135.568,138.691,163.86,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,SDR AU Equity,SITEMINDER LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25.428,-258.539,-375.096,106.867,77.118,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,ARF AU Equity,ARENA REIT,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,132.778,210.065,238.203,303.491,357.493,432.476,531.643,610.33,751.88,878.918,1168.974,1199.307,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,HLI AU Equity,HELIA GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2065.691,2166.375,2210.851,2500.475,2218.749,1967.381,1922.189,1737.3,1527.476,1387.92,1557.329,1421.138,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,RED AU Equity,RED 5 LTD,AUD,3.077,2.954,12.1438,16.2601,17.5812,16.4457,48.5422,50.4989,95.7952,129.4113,149.5428,152.4089,197.5932,171.4677,191.4269,69.4578,81.2513,79.38,196.049,230.876,182.795,330.071,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,AD8 AU Equity,AUDINATE GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-25.3091,-25.2632,17.5845,20.3738,41.144,41.967,78.855,75.284,90.196,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,CKF AU Equity,COLLINS FOODS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,41.108,179.268,185.495,191.372,171.289,189.697,266.793,332.968,350.631,357.804,362.598,393.527,384.498,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,AX1 AU Equity,ACCENT GROUP LTD,AUD,#N/A,#N/A,#N/A,38.928,19.854,15.607,36.128,30.755,42.152,43.148,46.882,44.925,52.99,244.375,306.287,370.652,391.913,403.337,408.513,428.98,440.226,441.212,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,HSN AU Equity,HANSEN TECHNOLOGIES LTD,AUD,30.966,27.752,28.775,25.749,32.826,36.226,41.986,45.823,49.897,52.841,57.427,59.867,66.086,113.529,134.98,151.616,229.923,248.87,252.494,288.519,313.108,338.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,DTL AU Equity,DATA#3 LTD,AUD,7.867,9.811,11.932,13.797,16.897,19.077,21.326,23.333,26.086,30.153,32.514,33.874,33.622,36.373,40.626,42.755,45.04,47.445,52.71,56.305,61.697,68.345,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,HLS AU Equity,HEALIUS LTD,AUD,172.539,186.287,198.554,348.242,392.415,409.406,1762.23,2116.704,2470.237,2504.389,2573.113,2678.865,2371.108,2415.4,2427.7,1869.1,1818.9,2051.1,1931.3,1857.3,1921.6,1506.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,PRN AU Equity,PERENTI LTD,AUD,52.398,58.511,68.399,78.961,135.628,151.231,280.732,306.13,501.488,654.943,740.761,817.386,752.168,553.293,606.596,630.114,774.751,1411.612,1399.754,1298.063,1322.36,1426.291,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,OCL AU Equity,OBJECTIVE CORPORATION LTD,AUD,5.346,7.196,11.9637,18.153,22.721,17.982,16.806,15.82,14.537,13.693,12.419,14.377,11.982,15.622,17.96,21.334,24.728,30.15,35.343,46.951,61.957,73.549,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,STX AU Equity,STRIKE ENERGY LTD,AUD,#N/A,#N/A,7.9796,11.721,28.4564,30.6175,38.122,53.337,45.224,33.812,60.962,47.135,44.894,30.305,41.619,51.603,63.126,99.796,37.009,138.125,116.874,286.847,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,WGX AU Equity,WESTGOLD RESOURCES LTD,AUD,8.495,10.914,10.4729,10.4372,11.6965,19.2402,22.26,24.8498,48.4732,110.0612,104.4578,103.6949,133.2902,104.1106,299.6356,405.8162,443.4859,521.8608,607.3603,587.7675,598.3393,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PWH AU Equity,PWR HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.7918,6.6743,5.2115,36.7235,40.9616,46.475,52.997,54.25,63.962,76.397,88.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,SLR AU Equity,SILVER LAKE RESOURCES LTD,AUD,#N/A,#N/A,#N/A,-0.0012,-0.0024,0.8357,33.97,45.57,75.545,91.373,193.963,360.661,276.341,182.606,187.344,189.766,206.382,474.218,795.627,895.778,1054.183,1088.411,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,CTT AU Equity,CETTIRE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.2494,-0.0085,1.5236,35.7629,17.1886,32.9995,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,TUA AU Equity,TUAS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,425.3728,481.3899,470.4887,492.7434,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,DYL AU Equity,DEEP YELLOW LTD,AUD,2.632,1.2086,-0.3219,4.3909,23.8052,115.26,154.8786,148.5038,146.1636,139.121,92.9308,93.082,71.7754,57.6005,50.9429,43.7045,40.7859,47.4893,47.9196,96.2957,115.177,374.6424,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,ABB AU Equity,AUSSIE BROADBAND LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.4156,-8.424,-20.723,59.547,268.722,291.781,291.781,291.781,291.781,291.781,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,JDO AU Equity,JUDO CAPITAL HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,197.463,543.018,1075.892,1404.6,1477.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,IRE AU Equity,IRESS LTD,AUD,15.248,28.114,33.275,40.777,49.719,101.432,116.157,124.221,137.615,127.852,126.838,326.769,330.784,339.311,400.826,407.547,419.431,434.906,587.862,536.913,433.813,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,ELD AU Equity,ELDERS LTD,AUD,776.986,901.427,961.158,970.312,1227.925,1196.601,1296.176,747.754,1006.093,604.683,551.782,46.2,57.03,111.629,186.504,257.678,308.549,492.883,672.326,778.592,860.717,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,CNI AU Equity,CENTURIA CAPITAL GROUP,AUD,58.113,71.781,101.49,87.29,90.542,104.722,92.654,78.438,95.643,90.481,90.376,95.41,103.444,118.851,127.667,341.951,441.161,551.368,831.146,1570.241,1433.201,1417.789,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,CQE AU Equity,CHARTER HALL SOCIAL INFRASTR,AUD,#N/A,56.557,74.127,69.808,113.98,158.885,214.124,179.707,183.341,206.888,212.553,233.51,306.706,445.025,531.8,628.808,710.718,890.2,1050,1178.3,1492.8,1490.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,NCK AU Equity,NICK SCALI LTD,AUD,6.7154,7.207,7.464,12.305,13.931,16.52,15.826,18.424,21.43,25.635,27.353,36.334,40.13,46.226,57.794,70.384,83.663,85.183,75.414,114.026,140.928,179.913,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,JIN AU Equity,JUMBO INTERACTIVE LTD,AUD,-0.041,0.581,1.2406,3.9879,7.789,6.8437,11.8514,14.2371,6.3803,10.082,18.0837,20.5092,19.8175,21.6808,24.696,42.9,47.211,77.378,78.919,85.326,92.983,99.989,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,SGF AU Equity,SG FLEET GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,108.724,91.223,91.223,129.016,149.382,201.223,226.787,250.468,279.17,270.24,378.186,545.942,573.868,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,BGA AU Equity,BEGA CHEESE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,171.0829,169.734,177.616,205.475,246.44,261.952,314.388,312.666,327.838,572.674,631.991,815.014,814.039,1260.7,1262.4,1003.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,IMD AU Equity,IMDEX LTD,AUD,18.446,21.8,18.111,19.02,32.653,76.614,105.643,116.198,94.495,125.409,168.066,188.452,176.922,160.816,115.593,159.82,186.126,220.012,221.632,253.051,297.226,556.208,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,CMW AU Equity,CROMWELL PROPERTY GROUP,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,673.064,715.236,539.593,571.407,705.16,788.989,1200.852,1263.998,1294.211,1500.2,1639.9,1901.5,2183,2589,2665.3,2710.4,2212.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,CIN AU Equity,CARLTON INVESTMENTS LIMITED,AUD,179.169,192.6666,192.6666,192.6666,192.6666,192.6666,192.6666,192.6666,192.6666,192.6666,192.6666,192.6666,192.6666,192.6666,192.6666,192.6666,192.6666,192.6666,192.6666,192.6666,192.6666,192.6666,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,CCP AU Equity,CREDIT CORP GROUP LTD,AUD,10.318,12.953,20.949,22.8575,42.6135,64.651,68.094,74.493,88.427,104.341,121.982,139.792,159.555,180.11,214.098,247.749,286.503,463.602,594.21,667.063,740.641,817.416,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PNV AU Equity,POLYNOVO LTD,AUD,12.1486,6.261,16.6845,17.2817,22.7646,20.788,16.4611,15.8229,13.7418,10.6405,7.9886,7.8179,8.668,7.3933,15.1117,10.8129,28.459,26.0995,23.812,22.352,17.7151,65.3831,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,EHE AU Equity,ESTIA HEALTH LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,53.7816,563.9139,591.681,761.116,761.564,761.507,608.749,615.732,541.737,500.556,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,HCW AU Equity,HEALTHCO REIT,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,654.09,958.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,SYA AU Equity,SAYONA MINING LTD,AUD,0.3459,0.736,4.1137,4.7347,5.6786,12.6404,16.1804,-0.104,-0.1326,-0.4587,1.359,0.8225,1.3337,8.8619,22.6807,21.2236,21.1457,67.8861,560.621,884.823,884.823,884.823,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,CXO AU Equity,CORE LITHIUM LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.4949,6.9174,5.725,4.2893,5.3978,6.3073,8.24,15.1255,26.1974,29.8631,33.5679,71.3145,238.7248,354.922,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,GEM AU Equity,G8 EDUCATION LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,30.6017,18.9129,18.7661,83.8431,115.1641,182.3076,304.786,542.009,602.785,625.875,865.335,893.484,795.97,868.53,914.711,883.363,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,RSG AU Equity,RESOLUTE MINING LTD,AUD,59.129,72.267,115.178,163.006,83.655,264.636,220.853,303.306,283.04,354.318,542.993,658.603,699.305,165.226,338.414,649.198,700.699,888.5179,1059.406,575.2233,691.4416,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,MAF AU Equity,MA FINANCIAL GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,22.9917,32.7533,215.631,240.826,227.126,236.857,370.033,409.587,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,WAF AU Equity,WEST AFRICAN RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,0.239,-0.0594,-0.0194,5.6673,8.7787,3.7427,3.3668,2.4855,-3.3519,3.1899,9.0811,77.763,74.231,172.265,554.406,740.567,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,DXI AU Equity,DEXUS INDUSTRIA REIT,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,242,250.124,249.838,261.157,419.36,439.954,490.022,557.942,695.421,1153.531,1101.767,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,AAC AU Equity,AUSTRALIAN AGRICULTURAL CO,AUD,192.885,307.094,402.361,558.678,582.368,725.564,705.255,645.109,592.634,671.987,638.639,595.418,747.78,762.298,886.136,1017.743,977.52,843.66,913.389,1044.625,1362.57,1562.086,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,SLX AU Equity,SILEX SYSTEMS LTD,AUD,51.521,49.004,39.4145,28.8096,20.2549,33.3294,78.8928,78.0133,76.3044,155.3351,120.6414,121.3243,92.0851,57.4541,53.7494,49.2923,47.0811,36.0342,27.4662,22.0711,50.5462,148.6892,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,WC8 AU Equity,WILDCAT RESOURCES LTD,AUD,#N/A,#N/A,#N/A,7.7666,8.9175,12.2993,14.245,-0.1503,-0.3023,1.3892,0.7086,-0.4229,0.1466,0.1492,3.25,2.9343,2.5086,2.2403,7.6573,6.7517,10.4112,9.7303,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,REG AU Equity,REGIS HEALTHCARE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-224.303,209.221,170.941,183.937,180.37,178.645,127.789,141.965,79.007,38.394,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,ERA AU Equity,ENERGY RESOURCES OF AUST,AUD,605.917,614.345,509.819,539.764,552.491,606.021,758.926,966.574,951.076,1288.536,1069.619,934.022,745.607,469.947,198.559,154.887,-280.79,-274.687,214.579,-442.422,-603.657,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,CUV AU Equity,CLINUVEL PHARMACEUTICALS LTD,AUD,10.309,7.53,8.8545,7.4543,13.9888,65.3918,51.8145,37.0512,26.4262,16.4081,13.6373,13.8393,15.4277,11.2053,17.8345,25.444,39.416,57.1799,72.0668,98.7374,125.559,164.6311,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,OML AU Equity,OOH!MEDIA LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,101.538,241.635,254.913,339.152,350.294,678.434,667.528,806.03,802.644,804.843,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,RIC AU Equity,RIDLEY CORP LTD,AUD,351.701,365.218,368.622,351.429,394.07,388.23,369.444,276.211,285.157,290.97,278.371,207.553,219.774,229.834,247.884,259.823,263.107,277.499,259.537,287.545,316.03,315.386,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,CHN AU Equity,CHALICE MINING LTD,AUD,#N/A,#N/A,#N/A,#N/A,12.4199,11.6011,12.405,11.9236,34.5477,48.4279,47.0365,61.7644,55.075,55.6692,61.4694,52.1155,41.6329,21.8191,53.427,149.224,176.331,187.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,QAL AU Equity,QUALITAS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,78.3371,46.0246,43.7937,48.1987,354.568,362.058,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,RFF AU Equity,RURAL FUNDS GROUP,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,137.471,151.94,207.864,357.678,378.735,525.872,557.966,648.544,917.011,993.159,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,TPW AU Equity,TEMPLE & WEBSTER GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.7506,-1.2264,-7.739,17.212,10.049,10.822,15.213,29.984,84.004,102.912,107.731,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,C79 AU Equity,CHRYSOS CORP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.892,17.484,14.228,122.318,124.227,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,LRS AU Equity,LATIN RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.5319,-1.8829,3.4635,13.654,12.209,11.4521,4.9639,3.6848,5.1648,1.3635,-0.7368,11.0304,13.2739,50.5718,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,A4N AU Equity,ALPHA HPA LTD,AUD,#N/A,#N/A,#N/A,#N/A,-0.906,1.3582,4.7454,5.149,4.4273,14.6137,6.0893,6.1569,10.2275,9.5001,8.7841,7.8006,10.2399,4.1616,10.4377,50.2834,46.8689,56.0156,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,SIG AU Equity,SIGMA HEALTHCARE LTD,AUD,#N/A,27.265,34.108,357.614,1269.167,1344.456,1200.653,1197.932,1057.721,832.919,682.527,610.806,578.829,573.001,553.654,538.587,515.259,514.28,476.74,514.359,488.778,477.766,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,EQT AU Equity,EQT HOLDINGS LTD,AUD,13.992,13.008,16.468,21.6094,46.591,44.4382,52.0046,52.9094,53.9362,55.4336,59.4764,62.59,230.0987,241.0275,240.754,245.248,253.854,263.292,267.358,274.251,281.335,399.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PTM AU Equity,PLATINUM ASSET MANAGEMENT,AUD,#N/A,#N/A,#N/A,#N/A,529.446,77.825,177.615,194.135,225.398,246.708,246.499,344.074,375.256,349.18,364.211,335.074,411.115,321.088,318.961,342.024,323.554,329.531,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,COF AU Equity,CENTURIA OFFICE REIT,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,43.2,235.2564,260.142,420.539,610.472,894.568,1282.952,1274.992,1492.501,1316.344,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,DVP AU Equity,DEVELOP GLOBAL LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.711,3.2626,23.4167,53.5002,68.0907,61.3338,56.0033,14.8492,12.8952,15.4325,20.5002,26.0482,23.8804,35.5978,144.5541,149.6609,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,TIE AU Equity,TIETTO MINERALS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.4724,-0.1381,-1.2838,6.2519,4.6586,12.0608,48.816,200.2761,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,FPR AU Equity,FLEETPARTNERS GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,187.786,552.122,658.815,863.263,868.099,481.105,508.485,575.679,620.638,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,IDX AU Equity,INTEGRAL DIAGNOSTICS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,68,83.92,90.352,93.422,127.219,228.33,254.739,347.244,373.048,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,WBT AU Equity,WEEBIT NANO LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,12.0045,11.0048,10.2357,1.3761,-0.2919,1.3516,3.4944,1.6044,3.3425,21.1666,54.9957,84.7955,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,ASB AU Equity,AUSTAL LTD,AUD,134.628,113.492,135.83,157.316,188.231,209.534,218.734,235.735,269.365,274.169,277.047,407.187,433.232,512.399,457.552,456.914,545.578,630.783,748.743,774.038,924.285,948.818,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,LNK AU Equity,LINK ADMINISTRATION HOLDINGS,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,326.966,38.727,49.143,582.062,617.351,1898.186,2151.358,1915.271,1739.595,1509.132,244.627,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,SNL AU Equity,SUPPLY NETWORK LTD,AUD,6.561,7.764,8.761,9.396,9.162,9.494,10.228,11.105,12.422,14.183,16.177,18.495,22.069,26.772,28.641,31.453,34.796,38.259,42.325,49.284,59.328,77.788,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,MGX AU Equity,MOUNT GIBSON IRON LTD,AUD,20.769,20.95,23.399,76.585,109.196,454.309,596.492,780.481,926.908,1166.541,1071.338,1182.049,1262.018,305.574,391.935,418.983,496.824,612.812,670.725,719.714,533.104,539.231,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,PPC AU Equity,PEET LTD,AUD,12.8681,23.195,31.9294,43.414,46.65,136.692,143.724,202.663,232.912,271.837,265.336,380.331,420.046,483.894,501.515,525.322,551.443,559.951,514.838,532.595,563.078,588.891,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,PPM AU Equity,PEPPER MONEY LTD/AU,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,247.5,408.615,453.771,501.473,544.441,810.914,734.922,636.4,841.3,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
