Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021
324,SDA AU Equity,SPEEDCAST INTERNATIONAL LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,221.5159,501.3997,831.1397,1280.9979,696.7315,225.3568,#N/A,#N/A
325,HFR AU Equity,HIGHFIELD RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.36,40.5469,89.5994,459.281,427.3844,337.4556,212.5436,224.077,#N/A,#N/A
326,MCR AU Equity,MINCOR RESOURCES NL,AUD,6.4269,27.0528,42.27,67.6553,137.8557,121.6644,183.9565,927.2678,660.2894,308.5415,363.3352,181.551,121.3943,90.34,155.2718,107.2787,56.6491,33.9999,83.6639,126.1659,269.8856,#N/A
327,RFG AU Equity,RETAIL FOOD GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,60.5791,106.1014,124.905,160.4209,280.953,259.7713,287.3199,514.5975,657.703,884.7505,912.2735,830.6595,98.6826,23.7569,148.2597,#N/A
328,LYL AU Equity,LYCOPODIUM LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,66.186,103.5925,137.7145,179.74,51.8408,121.377,222.2668,257.8295,166.3383,81.8267,50.8574,83.8353,125.157,184.7555,192.3047,189.1261,#N/A
329,DUB AU Equity,DUBBER CORP LTD,AUD,5.8755,5.0482,8.7572,4.0418,8.092,5.6367,7.0446,12.1248,16.0338,1.8500999999999999,2.1276,3.2367,4.1783,1.8279999999999998,3.0615,18.685200000000002,33.1707,20.68,58.8334,250.0044,234.7265,#N/A
330,ED1 AU Equity,EVANS DIXON LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,513.8393,179.6885,120.6856,#N/A
331,MOZ AU Equity,MOSAIC BRANDS LTD,AUD,17.4709,14.2842,22.2386,42.207,66.8082,99.1641,116.7577,134.3514,61.4976,29.202,34.0155,21.8213,21.3399,19.2541,15.0824,22.4631,39.081,140.0583,283.3021,263.6082,69.7053,#N/A
332,LEG AU Equity,LEGEND MINING LTD,AUD,3.6265,4.7995,1.4782,17.4984,2.4692,34.3934,81.3222,53.3559,13.3029,47.8553,136.6187,57.4302,37.6859,15.7028,11.7771,16.2748,20.3435,61.3305,59.2862,183.9916,#N/A,#N/A
333,MAD AU Equity,MADER GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
334,PAN AU Equity,PANORAMIC RESOURCES LTD,AUD,#N/A,#N/A,24.705,23.2778,112.3718,139.7369,215.5277,777.3785,775.1077,463.0524,447.473,362.3387,147.4255,52.1353,267.4889,149.4622,57.8566,94.2848,304.7876,163.3068,166.124,#N/A
335,CDD AU Equity,CARDNO LTD,AUD,#N/A,#N/A,#N/A,#N/A,55.4916,101.6147,184.0774,418.4274,333.7338,290.7393,362.0418,577.8428,1044.4848,744.5024,1027.8067,534.9963,261.0773,579.4454,617.6274,419.8347,107.2843,#N/A
336,BTH AU Equity,BIGTINCAN HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,40.5582,72.335,118.6702,222.5595,#N/A
337,FDV AU Equity,FRONTIER DIGITAL VENTURES LT,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,105.8733,154.4606,122.0602,208.6989,#N/A,#N/A
338,PPS AU Equity,PRAEMIUM LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,78.9995,125.2985,53.8965,22.1118,27.1141,36.3587,22.0596,22.3763,58.7017,128.9709,136.1861,141.4806,352.4124,162.1142,147.125,#N/A
339,FMS AU Equity,FLINDERS MINES LTD,AUD,#N/A,#N/A,203.5709,4.1814,3.7077,3.5566,10.1965,6.5511,255.2261,78.7044,156.5071,218.5007,236.7691,52.8177,48.0199,44.2079,76.626,185.1823,270.2931,219.5657,118.866,#N/A
340,SPT AU Equity,SPLITIT PAYMENTS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,205.6119,#N/A,#N/A
341,SVY AU Equity,STAVELY MINERALS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,34.5858,30.4886,9.5491,12.7288,40.4644,40.7782,127.2109,#N/A
342,SFC AU Equity,SCHAFFER CORP LTD,AUD,35.7935,49.672,127.7845,168.6825,199.3303,65.9503,80.324,120.9506,101.6154,60.687,64.3564,46.0092,50.6173,60.7075,82.7817,67.9261,71.4274,98.0376,183.3916,188.4259,179.7223,#N/A
343,PDN AU Equity,PALADIN ENERGY LTD,AUD,4.5088,5.8318,6.8023,2.9214,45.0476,471.0407,1866.9088,4976.1327,3932.5181,3074.8055,2574.5427,1959.7995,1044.5566,732.5393,284.4883,408.3973,316.8761,78.9833,299.7477,219.0105,202.7891,#N/A
344,APD AU Equity,APN PROPERTY GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,156.4666,278.6112,445.9754,92.8965,26.2861,23.7596,27.1392,25.9293,33.1159,61.5098,111.7733,146.3494,119.0551,132.2845,146.9841,158.7446,#N/A
345,FWD AU Equity,FLEETWOOD CORP LTD,AUD,39.3987,45.0185,91.9475,181.7477,348.1919,287.3254,318.862,434.5673,473.5675,310.3301,495.9584,655.4171,695.2192,217.8814,141.1542,83.624,115.0593,144.053,138.9877,160.8388,150.9046,#N/A
346,PCK AU Equity,PAINCHEK LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.299,5.299,1.1018,2.3255,3.2649,16.8606,46.9075,181.3317,119.0851,#N/A
347,VTG AU Equity,VITA GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,162.6921,85.1005,32.487,12.7123,31.0745,31.35,35.625,89.0624,105.4499,256.2034,623.238,168.3198,149.5477,209.3103,158.025,#N/A
348,MMI AU Equity,METRO MINING LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,35.4209,104.2434,52.2209,10.862,6.6843,25.9846,27.3372,145.5832,221.4731,194.4456,#N/A,#N/A
349,SYR AU Equity,SYRAH RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.7,0.99,3.45,4.761,291.7265,301.446,672.7525,617.9343,804.46,1339.5727,517.1233,194.3417,#N/A,#N/A
350,KSC AU Equity,K & S CORP LTD,AUD,35.3678,64.4785,67.7774,91.4695,149.9491,191.9348,237.5046,239.145,207.3668,153.7134,185.8368,121.6625,109.3602,155.0062,145.1156,155.2539,159.9858,195.3113,200.4915,232.2848,164.8454,#N/A
351,DNK AU Equity,DANAKALI LTD,AUD,#N/A,#N/A,#N/A,#N/A,5.3977,5.4112,3.7772,9.4864,17.2763,5.0694,44.5697,210.82,123.3891,26.2303,20.0613,50.9739,107.7574,179.9638,195.6726,191.1278,#N/A,#N/A
352,KLL AU Equity,KALIUM LAKES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,48.6108,91.6885,139.7952,116.3274,#N/A
