Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,,,,,,
42,CWN AU Equity,CROWN RESORTS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.29,7.27,7.77,8.93,8.49,12.11,15.12,12.2,12.61,12.28,13.5,12.45,9.67,#N/A,,,,,,
43,CCL AU Equity,COCA-COLA AMATIL LTD,AUD,4.682,5.981,5.27,6.23,8.13,7.71,7.76,9.48,9.19,11.53,10.86,11.51,13.45,12.03,9.32,9.3,10.12,8.51,8.19,11.06,#N/A,#N/A,,,,,,
44,WOR AU Equity,WORLEY LTD,AUD,#N/A,#N/A,#N/A,2.04,2.9,7.89,20.1,34,37.86,23.81,22.21,28.24,25.1,19.49,17.41,10.41,7.2,11.22,17.48,14.71,8.72,#N/A,,,,,,
45,SEK AU Equity,SEEK LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,2.38,5.35,7.38,5,4.17,7.01,6.44,6.34,9.07,15.85,14.06,15.21,16.91,21.81,21.16,21.89,#N/A,,,,,,
46,APT AU Equity,AFTERPAY LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.95,9.35,25.07,60.99,#N/A,,,,,,
47,BSL AU Equity,BLUESCOPE STEEL LTD,AUD,#N/A,#N/A,#N/A,3.7199999999999998,6.74,8.23,7.95,10.34,11.34,2.5300000000000002,2.1,1.205,0.3,4.67,5.42,3,6.37,13.21,17.26,12.05,11.69,#N/A,,,,,,
48,WTC AU Equity,WISETECH GLOBAL LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.43,6.92,15.66,27.71,19.35,#N/A,,,,,,
49,AWC AU Equity,ALUMINA LTD,AUD,7.657,9.573,4.9,6.57,5.9399999999999995,7.42,6.34,6.37,1.3900000000000001,1.8399999999999999,2.48,1.115,0.9,1.115,1.795,1.155,1.83,2.43,2.3,2.3,#N/A,#N/A,,,,,,
50,SVW AU Equity,SEVEN GROUP HOLDINGS LTD,AUD,7.087,7.129,5.5600000000000005,4.78,5.29,6.95,8.17,11.55,7.15,5.47,5.74,9.63,7.74,6.9,7.41,6.54,6.01,10.94,19.03,18.49,17.18,#N/A,,,,,,
51,AMP AU Equity,AMP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,
52,EVN AU Equity,EVOLUTION MINING LTD,AUD,#N/A,#N/A,#N/A,0.42,0.205,0.08,0.185,0.07,0.047,0.1,1.625,1.3599999999999999,1.475,0.57,0.7,1.15,2.33,2.41,3.51,4.36,5.67,#N/A,,,,,,
53,REH AU Equity,REECE LTD,AUD,17.74,20,7.5,7,8.25,12.9,15.35,28.05,21,18,24.2,20.66,18,23.8,30.24,34.71,37,42,12.65,9.76,9.19,#N/A,,,,,,
54,AST AU Equity,AUSNET SERVICES,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.3,1.42,1.21,0.91,0.905,0.88,1.075,1.195,1.31,1.46,1.49,1.685,1.675,1.775,1.71,#N/A,,,,,,
55,TPM AU Equity,TPG TELECOM LTD,AUD,#N/A,0.26,0.7,1.07,1.45,1.6400000000000001,0.79,0.695,0.2,0.525,1.8050000000000002,1.525,1.935,3.69,5.52,9.51,12.83,5.61,5.76,6.98,#N/A,#N/A,,,,,,
56,BPT AU Equity,BEACH ENERGY LTD,AUD,0.027,0.051,0.335,0.345,0.27,0.645,1.5550000000000002,1.43,1.34,0.79,0.69,0.915,0.94,1.135,1.6800000000000002,1.05,0.61,0.575,1.755,1.9849999999999999,1.52,#N/A,,,,,,
57,QUB AU Equity,QUBE HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.155,0.665,0.54,0.785,1.56,1.55,1.665,2.2800000000000002,2.35,2.21,2.63,2.41,3.04,2.91,#N/A,,,,,,
58,BLD AU Equity,BORAL LTD,AUD,2.1,2.877,3.75,5.06,6.46,6.48,8.14,8.77,5.65,4.07,4.82,4.4,2.95,4.21,5.25,5.85,6.22,6.95,6.53,5.12,3.79,#N/A,,,,,,
59,SOL AU Equity,WASHINGTON H. SOUL PATTINSON,AUD,36,50.5,4.95,5.93,7.35,9.6,7.8,9.92,10.45,11,13.02,12.93,13.15,13.5,15.13,13.7,17.43,17.64,21.82,22.71,19.55,#N/A,,,,,,
60,IPL AU Equity,INCITEC PIVOT LTD,AUD,#N/A,#N/A,#N/A,15.66,18.8,15.82,25.87,85.54,5.07,2.83,3.59,3.27,2.98,2.69,2.71,3.9,2.82,3.6,3.98,3.39,#N/A,#N/A,,,,,,
61,HVN AU Equity,HARVEY NORMAN HOLDINGS LTD,AUD,3.7640000000000002,4.35,3.06,2.51,2.82,2.5,3.94,5.29,3.09,3.3,3.31,2.49,1.95,2.55,3.1,4.51,4.61,3.82,3.32,4.07,3.54,#N/A,,,,,,
62,CGF AU Equity,CHALLENGER LTD,AUD,0.7,0.38,0.4,0.54,0.485,3.12,3.16,5.83,1.8900000000000001,2.24,3.52,4.89,3.25,4.01,7.44,6.72,8.63,13.34,11.83,6.64,4.41,#N/A,,,,,,
