Num,Ticker,Name,FY Report Month,Data FX,"Begin 
Year",Sector,BICS Name,BICS 1,BICS 2,BICS 3,BICS 4
106,RRL AU Equity,REGIS RESOURCES LTD,2019-06-30 00:00:00,AUD,2000,Precious Metals,Gold Mining,Materials,Metals & Mining,Precious Metal Mining,Gold Mining
107,NUF AU Equity,NUFARM LTD,2019-07-31 00:00:00,AUD,2000,Industrials,Crop Chemicals,Materials,Chemicals,Agricultural Chemicals,Crop Chemicals
108,EVT AU Equity,EVENT HOSPITALITY AND ENTERT,2019-06-30 00:00:00,AUD,2000,Food & Leisure,Movie Theaters,Consumer Discretionary,Recreation Facilities & Svcs,Entertainment Facilities,Movie Theaters
109,SGM AU Equity,SIMS LTD,2019-06-30 00:00:00,AUD,2000,Industrials,Recycling Facilities,Industrials,Waste & Environ Svcs & Equip,Waste Management,Solid Waste Collection & Treat
110,DHG AU Equity,DOMAIN HOLDINGS AUSTRALIA LT,2019-06-30 00:00:00,AUD,2018,Internet Based Services,Real Estate & Property Web,Communications,Media,Internet Based Services,Real Estate & Property Web
111,SUL AU Equity,SUPER RETAIL GROUP LTD,2019-06-30 00:00:00,AUD,2005,Discretionary Retail,Auto Parts & Accessories Stores,Consumer Discretionary,Retail - Discretionary,Automotive Retailers,Auto Parts & Accessories Stores
112,PPT AU Equity,PERPETUAL LTD,2019-06-30 00:00:00,AUD,2000,Asset Management,Wealth Management,Financials,Asset Management,Wealth Management,#N/A
113,NAN AU Equity,NANOSONICS LTD,2019-06-30 00:00:00,AUD,2007,Medical Equipment & Devices,Cardiovascular Devices,Health Care,Medical Equipment & Devices,Medical Devices,Cardiovascular Devices
114,SBM AU Equity,ST BARBARA LTD,2019-06-30 00:00:00,AUD,2000,Precious Metals,Gold Mining,Materials,Metals & Mining,Precious Metal Mining,Gold Mining
115,BIN AU Equity,BINGO INDUSTRIES LTD,2019-06-30 00:00:00,AUD,2017,Industrials,Waste Management,Industrials,Waste & Environ Svcs & Equip,Waste Management,#N/A
116,BAP AU Equity,BAPCOR LTD,2019-06-30 00:00:00,AUD,2014,Discretionary Retail,Auto Parts & Accessories Stores,Consumer Discretionary,Retail - Discretionary,Automotive Retailers,Auto Parts & Accessories Stores
117,VOC AU Equity,VOCUS GROUP LTD,2019-06-30 00:00:00,AUD,2006,Telecommunications,Wireline ISPs - Telecom,Communications,Telecom,Telecom Carriers,Wireline Telecom Services
118,WEB AU Equity,WEBJET LTD,2019-06-30 00:00:00,AUD,2000,Internet Based Services,Travel Info & Booking Web,Communications,Media,Internet Based Services,Travel Info & Booking Web
119,IPH AU Equity,IPH LTD,2019-06-30 00:00:00,AUD,2015,Commercial Services,"Patent, Notary & Paralegal Svcs",Consumer Discretionary,Commercial Services,Professional Services,Legal Services
120,TYR AU Equity,TYRO PAYMENTS LTD,2019-06-30 00:00:00,AUD,2019,Specialty Finance,Financial Transaction Proc Svcs,Financials,Specialty Finance,Consumer Finance,Credit & Debit
121,GNC AU Equity,GRAINCORP LTD-A,2019-09-30 00:00:00,AUD,2001,Agriculture,Grain & Oilseed Milling,Consumer Staples,Consumer Products,Agricultural Producers,"Sugar, Grain & Oilseed Mill"
122,HLS AU Equity,HEALIUS LTD,2019-06-30 00:00:00,AUD,2000,Health Care Facilities,Health Care Testing Services,Health Care,Health Care Facilities & Svcs,Health Care Services,Health Care Testing Services
123,NHC AU Equity,NEW HOPE CORP LTD,2019-07-31 00:00:00,AUD,2004,Energy,Coal Mining,Energy,"Oil, Gas & Coal",Coal Operations,Coal Mining
124,CCP AU Equity,CREDIT CORP GROUP LTD,2019-06-30 00:00:00,AUD,2001,Specialty Finance,Receivables Collection & Mgmt,Financials,Specialty Finance,Other Financial Services,Receivables Collection & Mgmt
125,HTA AU Equity,HUTCHISON TELECOMM (AUST),2019-12-31 00:00:00,AUD,2007,Telecommunications,Wireless Telecom Services,Communications,Telecom,Telecom Carriers,Wireless Telecom Services
126,LYC AU Equity,LYNAS CORP LTD,2019-06-30 00:00:00,AUD,2000,Precious Metals,Rare Earth,Materials,Metals & Mining,Other Mined Minerals,Rare Earth
127,MND AU Equity,MONADELPHOUS GROUP LTD,2019-06-30 00:00:00,AUD,2000,Industrials,Engineering Services,Industrials,Engineering & Construction Svcs,Engineering Services,#N/A
128,IVC AU Equity,INVOCARE LTD,2019-12-31 00:00:00,AUD,2003,Consumer Services,Funeral Homes & Services,Consumer Discretionary,Consumer Services,Funeral Services,Funeral Homes & Services
129,MP1 AU Equity,MEGAPORT LTD,2019-06-30 00:00:00,AUD,2016,Technology,Infrastructure Software,Technology,Software,Infrastructure Software,#N/A
130,GMA AU Equity,GENWORTH MORTGAGE INSURANCE,2019-12-31 00:00:00,AUD,2014,Specialty Finance,Mortgage Insurance,Financials,Specialty Finance,Mortgage Finance,Mortgage Insurance
131,ARB AU Equity,ARB CORP LTD,2019-06-30 00:00:00,AUD,2000,Discretionary Retail,Other Motor Vehicle Parts,Consumer Discretionary,Automotive,Auto Parts,Other Motor Vehicle Parts
132,EML AU Equity,EML PAYMENTS LTD,2019-06-30 00:00:00,AUD,2006,Specialty Finance,Financial Transaction Proc Svcs,Financials,Specialty Finance,Consumer Finance,Credit & Debit
133,BKL AU Equity,BLACKMORES LTD,2019-06-30 00:00:00,AUD,2000,Consumer Products,Specialty Pharma,Health Care,Biotech & Pharma,Specialty Pharma,#N/A
134,CUV AU Equity,CLINUVEL PHARMACEUTICALS LTD,2019-06-30 00:00:00,AUD,2001,Pharmaceutical,Specialty Pharma,Health Care,Biotech & Pharma,Specialty Pharma,#N/A
