Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,,,,,,,
42,CWN AU Equity,CROWN RESORTS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,27.043,27.043,11.892,11.892,56.518,56.95,60.762,91.987,132.848,459.464,346.5,338.4,415.3,355.6,#N/A,,,,,,,
43,CCL AU Equity,COCA-COLA AMATIL LTD,AUD,7.2,6,2.4,2.8,3.9,370.5,374.5,376.7,375.9,388.2,387.5,396.4,384.5,107.5,116.4,117.7,129.8,147.5,152.9,153,#N/A,#N/A,,,,,,,
44,WOR AU Equity,WORLEY LTD,AUD,#N/A,#N/A,29.117,29.622,29.622,313.149,377.207,1331.555,1394.8,1488.2,1586.7,1529.2,1568.7,1873.2,1860.3,1906.8,1890.5,1832.8,2068,5447,5422,#N/A,,,,,,,
45,SEK AU Equity,SEEK LTD,AUD,#N/A,#N/A,#N/A,0,5.502,0,0,11.256,10.645,91.873,93.052,368.338,796.481,1291.4,1196.2,1945.2,1931.2,2171.9,2013.5,2312.9,1960.3,#N/A,,,,,,,
46,APT AU Equity,AFTERPAY LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,23.575,23.575,39.807,39.807,#N/A,,,,,,,
47,BSL AU Equity,BLUESCOPE STEEL LTD,AUD,#N/A,#N/A,#N/A,0,60.1,106.1,112,102.9,781.6,849.9,830.8,490.8,284.2,302.6,287,342.4,1202.5,1156.6,1156.6,1269,1293.6,#N/A,,,,,,,
48,WTC AU Equity,WISETECH GLOBAL LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20.239,37.681,55.297,236.523,601.499,652.9,#N/A,,,,,,,
49,AWC AU Equity,ALUMINA LTD,AUD,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,,,,,,,
50,SVW AU Equity,SEVEN GROUP HOLDINGS LTD,AUD,0,0,0,0,0,12.243,12.682,0,3.021,0,30.403,63.64,62.473,53.119,53.1,9.2,94.2,94.2,1144.1,1145.4,1145.4,#N/A,,,,,,,
51,AMP AU Equity,AMP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,
