Num,Ticker,Name,Data FX,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,,,,,,,
42,CAR AU Equity,CARSALES.COM LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,-5.2834000000000003,-16.760999999999999,-23.599,-33.408000000000001,-41.345999999999997,-51.034999999999997,-75.085999999999999,-72.009,-71.233999999999995,-83.828000000000003,-85.805999999999997,-89.697000000000003,-94.21,-105.587,-113.47,-126.226,-186.71899999999999,,,,,,,
43,SVW AU Equity,SEVEN GROUP HOLDINGS LTD,AUD,-56.322000000000003,-67.796999999999997,-77.45,-82.305000000000007,-89.802999999999997,-92.299000000000007,-108.292,-96.302000000000007,-11.989000000000001,-144.16999999999999,-143.697,-152.28200000000001,-148.9,-145.80000000000001,-139.5,-136.19999999999999,-148.69999999999999,-137.69999999999999,-142.5,-149.30000000000001,-167.1,-167.1,,,,,,,
44,TLC AU Equity,LOTTERY CORP LTD/THE,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,-197.1,,,,,,,
45,TPG AU Equity,TPG TELECOM LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-23,0,0,-288,-325,-325,-325,-325,-325,-325,,,,,,,
46,MPL AU Equity,MEDIBANK PRIVATE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,-150.33000000000001,-441.7,-238.8,-283.7,-309.8,-337.4,-355.3,-429.6,-333.2,-358,-374.5,,,,,,,
47,EDV AU Equity,ENDEAVOUR GROUP LTD/AUSTRALI,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,-157,-52,-349,-394,-394,-394,-394,-394,,,,,,,
48,TWE AU Equity,TREASURY WINE ESTATES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,-77.7,-84.1,-77.8,-84.7,-111.2,-184.6,-203.7,-244.7,-276.3,-158.69999999999999,-202.1,-245.4,,,,,,,
49,WOR AU Equity,WORLEY LTD,AUD,-2,-12.044,-15.932,-25.08,-63.534999999999997,-103.554,-170.1,-207,-220.5,-186.6,-221.1,-227.7,-209.6,-209.8,-54.4,0,-27.3,-99,-208,-261,-262,-262,,,,,,,
50,BSL AU Equity,BLUESCOPE STEEL LTD,AUD,0,-71.400000000000006,-241.6,-343,-453.2,-223.1,-249.6,-182,0,-86.7,0,0,0,-17,-34.200000000000003,-40.200000000000003,-61.7,-75.8,-71.5,-70.5,-344,-233.1,,,,,,,
51,QAN AU Equity,QANTAS AIRWAYS LTD,AUD,-124.1,-172.3,-161.4,-175,-212.1,-414.7,-638,-203,0,0,0,0,0,0,0,-261,-249,-363,-204,0,-1,0,,,,,,,
