Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,,,,,,,
51,AMP AU Equity,AMP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,
52,EVN AU Equity,EVOLUTION MINING LTD,AUD,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,
53,REH AU Equity,REECE LTD,AUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,
54,AST AU Equity,AUSNET SERVICES,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2137.462,2067.991,1924.635,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,
55,TPM AU Equity,TPG TELECOM LTD,AUD,#N/A,0,0,0,0,37.454,21.772,21.772,0,0,0,0,0,0,0,0,5.1,4.7,4,5.2,#N/A,#N/A,,,,,,,
56,BPT AU Equity,BEACH ENERGY LTD,AUD,0,0,0,1.899,4.171,3.858,0,0,0,0,1.175,5.747,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,
57,QUB AU Equity,QUBE HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,18.592,77.892,79.426,83.613,90.793,98.2,0,-0.3,-1.2,-3.2,#N/A,,,,,,,
58,BLD AU Equity,BORAL LTD,AUD,-0.9,2.4,1.6,2.1,2.2,2,1.9,2.9,2,1.2,2.6,47.6,74.3,89.3,0,0,0,0,0,0,0,#N/A,,,,,,,
59,SOL AU Equity,WASHINGTON H. SOUL PATTINSON,AUD,124.231,149.146,149.146,107.539,244.984,563.042,545.692,567.748,445.175,1184.353,1039.389,1101.009,910.019,813.898,796.741,747.857,707.268,780.666,974.451,989.803,872.194,#N/A,,,,,,,
60,IPL AU Equity,INCITEC PIVOT LTD,AUD,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,2.1,5,2.3,2.9,2.7,3,4.3,6,6.5,0,#N/A,#N/A,,,,,,,
61,HVN AU Equity,HARVEY NORMAN HOLDINGS LTD,AUD,44.923,52.594,69.967,67.886,70.346,74.958,89.858,49.568,47.253,53.139,53.987,34.88,30.93,33.566,19.729,19.779,22.378,22.448,26.926,30.383,30.983,#N/A,,,,,,,
62,CGF AU Equity,CHALLENGER LTD,AUD,#N/A,#N/A,#N/A,#N/A,0,0,375.4,3.7,17.1,307.5,380.1,311.1,352.3,346.8,122.8,95.4,3.1,13.2,0.4,22.5,0,#N/A,,,,,,,
63,DOW AU Equity,DOWNER EDI LTD,AUD,0,0,0,0,0,0,0,0,0,0,0.095,0.1,-0.015,-0.015,0,0,0,435.2,155,153.8,144.2,#N/A,,,,,,,
64,BEN AU Equity,BENDIGO AND ADELAIDE BANK,AUD,0,0,-0.077,0.198,-0.2,-0.4,-0.6,-0.7,0,0,145.7,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,
65,ALU AU Equity,ALTIUM LTD,AUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,
66,DMP AU Equity,DOMINO'S PIZZA ENTERPRISES L,AUD,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,
67,FLT AU Equity,FLIGHT CENTRE TRAVEL GROUP L,AUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.716,0.278,0.202,#N/A,,,,,,,
68,ALQ AU Equity,ALS LTD,AUD,0.151,0.066,0.3,0.23,0.995,1.971,1.681,1.525,0.604,1.156,1.437,1.479,5.6,11.7,11.7,12.9,8.6,9.6,11.9,9.8,10.5,#N/A,,,,,,,
69,IEL AU Equity,IDP EDUCATION LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0.02,-0.312,-0.347,#N/A,,,,,,,
70,JBH AU Equity,JB HI-FI LTD,AUD,#N/A,#N/A,0,0,0,3.672,4.705,5.692,0,0,0,0,0,0.483,0,0,0,0,0,0,0,#N/A,,,,,,,
71,SGR AU Equity,STAR ENTERTAINMENT GRP LTD/T,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,
72,CWY AU Equity,CLEANAWAY WASTE MANAGEMENT L,AUD,#N/A,#N/A,#N/A,0,10.604,2.683,3.34,9.809,23.545,17.666,9.464,1.825,5.4,6.6,8.5,8.3,6.6,0,0,2.3,1,#N/A,,,,,,,
73,CAR AU Equity,CARSALES.COM LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,1.1320000000000001,2.308,4.18,5.543,6.002,5.523,0.763,#N/A,,,,,,,
