Num,Ticker,Name,Data FX,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,,,,,,,
87,CHC AU Equity,CHARTER HALL GROUP,AUD,#N/A,#N/A,#N/A,#N/A,11.965,44.854,64.539,-83.444,-4.539,52.571,13.971,56.129,81.109,118.242,216.954,281.159,277.7,285.6,426.7,558.2,1106.4,321.8,,,,,,,
88,FLT AU Equity,FLIGHT CENTRE TRAVEL GROUP L,AUD,90.528,102.325,121.326,115.591,119.405,174.021,200.968,40.397,198.532,213.093,290.351,349.209,323.78,366.297,345.043,325.445,364.272,343.457,-848.586,-601.71,-377.786,70.459,,,,,,,
89,CGF AU Equity,CHALLENGER LTD,AUD,#N/A,#N/A,-211.72,164.5,181,302.7,-62.1,-181.4,346,297.8,154.5,545.6,423.6,406.4,411.7,519.2,418.4,437.8,-590.6,830.6,372.4,408,,,,,,,
90,LTR AU Equity,LIONTOWN RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,-0.0178,-0.8772,-10.3086,-6.6148,0.8425,-1.1899,-1.2152,-3.003,-1.387,-0.8463,-2.0941,-3.2826,-0.7932,-12.7237,-12.833,-11.0591,41.347,-22.405,,,,,,,
91,BKW AU Equity,BRICKWORKS LTD,AUD,60.653,75.287,190.346,203.044,116.024,135.974,131.213,416.485,111.67,170.512,27.098,82.679,123.728,96.87,107.676,244.147,234.606,290.592,389.515,328.894,1276.747,512.444,,,,,,,
92,CIA AU Equity,CHAMPION IRON LTD,AUD,#N/A,#N/A,#N/A,#N/A,0,-0.3719,-1.3585,-3.2531,-0.7014,-0.4347,-0.2121,-1.3879,-49.5429,-11.9368,-8.0576,-35.8551,-108.1565,223.3175,266.1224,803.8992,939.8971,383.1566,,,,,,,
93,PMV AU Equity,PREMIER INVESTMENTS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,110.632,89.375,57.576,92.767,245.956,98.365,116.945,143.083,139.145,123.965,151.742,195.199,379.583,392.663,382.137,,,,,,,
94,MTS AU Equity,METCASH LTD,AUD,89.226,126.046,155.651,185.146,133.486,225.698,284.3,290.7,330,356.9,197.2,385.1,277,-396.6,248.4,238.5,-71.9,276.1,14.4,341.8,358.2,376.5,,,,,,,
95,BPT AU Equity,BEACH ENERGY LTD,AUD,4.21,11.212,13.318,24.04,59.462,143.625,90.587,321.613,34.41,-121.268,187.809,214.001,202.411,-655,-620.3,307.7,283.5,810.4,690.6,436.8,716.6,559.3,,,,,,,
96,NHF AU Equity,NIB HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,69.447,50.814,-5.071,31.595,86.966,91.916,95.657,96.66,99.169,109.591,132.429,174.4,192.3,213,121.8,231,192.5,284.5,,,,,,,
97,SMR AU Equity,STANMORE RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.7537,-2.0878,-7.682,-7.203,-11.864,-12.148,-19.746,6.418,10.04,128.53,-6.509,13.8552,1168.1991,#N/A,,,,,,,
98,BOQ AU Equity,BANK OF QUEENSLAND LTD,AUD,40.583,63.6,201.9,126.3,211.7,184.4,201.9,193.2,258.1,221.8,-19.3,275.8,383,462,496,507,493,435,173,538,601,281,,,,,,,
99,APE AU Equity,EAGERS AUTOMOTIVE LTD,AUD,12.327,15.215,17.826,19.132,36.813,40.024,19.916,52.47,45.298,58.153,78.735,86.71,102.84,120.958,141.405,135.629,128.402,-63.304,280.106,456.807,442.222,#N/A,,,,,,,
100,ORA AU Equity,ORORA LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,145,154,-105.7,-144.8,187.2,239.4,243.1,286.2,153.1,35.6,177.7,258.8,247,,,,,,,
101,NIC AU Equity,NICKEL INDUSTRIES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.6003,-5.1971,-2.9303,236.7819,224.4965,241.1858,313.1055,#N/A,,,,,,,
102,NWL AU Equity,NETWEALTH GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.443,20.149,23.592,29.189,50.083,62.745,77.231,81.11,97.014,#N/A,,,,,,,
103,ILU AU Equity,ILUKA RESOURCES LTD,AUD,103.5,90.8,120.3,-112.8,32.2,65,21.9,-166.8,39.9,760.7,512.2,24,-48.5,86.6,-277.7,-165.6,452,-85.7,178.3,488.9,730.1,#N/A,,,,,,,
104,BRG AU Equity,BREVILLE GROUP LTD,AUD,24.988,30.861,34.038,18.342,30.537,21.512,26.519,15.632,30.548,43.609,64.667,71.284,69.372,67.763,71.519,77.223,84.373,94.311,89.541,127.403,147.834,150.991,,,,,,,
